District,Lat,Lon,Rainfall (mm)
Srikakulam,18.2949,83.8938,221.16
Vizianagaram,18.1124,83.3956,157.97
Parvathipuram Manyam,18.7831,83.4251,129.85
Alluri Sitharama Raju,17.8782,82.45,150.17
Visakhapatnam,17.6868,83.2185,228.36
Anakapalli,17.69,82.995,247.26
Kakinada,16.9891,82.2475,172.28
Dr. B.R. Ambedkar Konaseema,16.773,82.0595,165.15
East Godavari,16.9524,82.243,76.25
West Godavari,16.7107,81.0956,103.8
Eluru,16.71,81.1,86.01
Krishna,16.507,80.646,99.37
NTR,16.5151,80.632,96.84
Guntur,16.3067,80.4365,99.51
Bapatla,15.9041,80.4676,154.76
Palnadu,16.16,80.02,92.02
Prakasam,15.348,79.56,160.03
Sri Potti Sriramulu Nellore,14.4426,79.9865,307.65
Kurnool,15.8281,78.0373,33.98
Nandyal,15.4771,78.4836,58.78
Ananthapuramu,14.6819,77.6006,54.51
Sri Sathya Sai,14.166,77.81,56.53
Y.S.R.,14.4674,78.8241,124.67
Annamayya,14.02,79.1,67.94
Chittoor,13.2172,79.1003,145.8
Tirupati,13.6288,79.4192,152.56
